"Agriculture Year",District,Crop,Area,"Area Unit",Production,"Production Unit",Productivity,"Productivity Unit"
2017-18,Thiruvananthapuram,Cocoa,59,Hectare,35,MT,601,"Kg/ Hectare"
2017-18,Kollam,Cocoa,10,Hectare,15,MT,1522,"Kg/ Hectare"
2017-18,Pathanamthitta,Cocoa,335,Hectare,352,MT,1048,"Kg/ Hectare"
2017-18,Alappuzha,Cocoa,84,Hectare,102,MT,1222,"Kg/ Hectare"
2017-18,Kottayam,Cocoa,921,Hectare,833,MT,905,"Kg/ Hectare"
2017-18,Idukki,Cocoa,9715,Hectare,10319,MT,1062,"Kg/ Hectare"
2017-18,Ernakulam,Cocoa,1047,Hectare,788,MT,753,"Kg/ Hectare"
2017-18,Thrissur,Cocoa,52,Hectare,28,MT,531,"Kg/ Hectare"
2017-18,Palakkad,Cocoa,157,Hectare,134,MT,849,"Kg/ Hectare"
2017-18,Malappuram,Cocoa,66,Hectare,45,MT,683,"Kg/ Hectare"
2017-18,Kozhikode,Cocoa,766,Hectare,655,MT,855,"Kg/ Hectare"
2017-18,Wayanad,Cocoa,614,Hectare,652,MT,1062,"Kg/ Hectare"
2017-18,Kannur,Cocoa,386,Hectare,329,MT,853,"Kg/ Hectare"
2017-18,Kasaragod,Cocoa,310,Hectare,246,MT,792,"Kg/ Hectare"
2017-18,Thiruvananthapuram,"Betel leaves",15,Hectare,600,MT,39796,"Kg/ Hectare"
2017-18,Kollam,"Betel leaves",22,Hectare,955,MT,43322,"Kg/ Hectare"
2017-18,Pathanamthitta,"Betel leaves",26,Hectare,583,MT,22481,"Kg/ Hectare"
2017-18,Alappuzha,"Betel leaves",29,Hectare,1748,MT,61297,"Kg/ Hectare"
2017-18,Kottayam,"Betel leaves",8,Hectare,189,MT,24265,"Kg/ Hectare"
2017-18,Idukki,"Betel leaves",,Hectare,,MT,,"Kg/ Hectare"
2017-18,Ernakulam,"Betel leaves",4,Hectare,161,MT,42951,"Kg/ Hectare"
2017-18,Thrissur,"Betel leaves",4,Hectare,94,MT,25411,"Kg/ Hectare"
2017-18,Palakkad,"Betel leaves",1,Hectare,43,MT,31990,"Kg/ Hectare"
2017-18,Malappuram,"Betel leaves",130,Hectare,3655,MT,28079,"Kg/ Hectare"
2017-18,Kozhikode,"Betel leaves",8,Hectare,479,MT,63548,"Kg/ Hectare"
2017-18,Wayanad,"Betel leaves",1,Hectare,28,MT,25621,"Kg/ Hectare"
2017-18,Kannur,"Betel leaves",6,Hectare,268,MT,43733,"Kg/ Hectare"
2017-18,Kasaragod,"Betel leaves",14,Hectare,849,MT,58697,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Paddy,2039,Hectare,5167,MT,2624,"Kg/ Hectare"
2018-19,Kollam,Paddy,2135,Hectare,4514,MT,2286,"Kg/ Hectare"
2018-19,Pathanamthitta,Paddy,3200,Hectare,11676,MT,3685,"Kg/ Hectare"
2018-19,Alappuzha,Paddy,42273,Hectare,128560,MT,3329,"Kg/ Hectare"
2018-19,Kottayam,Paddy,22223,Hectare,61917,MT,2793,"Kg/ Hectare"
2018-19,Idukki,Paddy,688,Hectare,1562,MT,2310,"Kg/ Hectare"
2018-19,Ernakulam,Paddy,5044,Hectare,11191,MT,2237,"Kg/ Hectare"
2018-19,Thrissur,Paddy,22131,Hectare,69454,MT,3160,"Kg/ Hectare"
2018-19,Palakkad,Paddy,77121,Hectare,215285,MT,2798,"Kg/ Hectare"
2018-19,Malappuram,Paddy,8340,Hectare,26984,MT,3288,"Kg/ Hectare"
2018-19,Kozhikode,Paddy,2329,Hectare,3439,MT,1581,"Kg/ Hectare"
2018-19,Wayanad,Paddy,7762,Hectare,22340,MT,2878,"Kg/ Hectare"
2018-19,Kannur,Paddy,5331,Hectare,11143,MT,2168,"Kg/ Hectare"
2018-19,Kasaragod,Paddy,2291,Hectare,5024,MT,2248,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Pepper,2003,Hectare,670,MT,334,"Kg/ Hectare"
2018-19,Kollam,Pepper,2870,Hectare,861,MT,300,"Kg/ Hectare"
2018-19,Pathanamthitta,Pepper,1593,Hectare,506,MT,317,"Kg/ Hectare"
2018-19,Alappuzha,Pepper,609,Hectare,117,MT,192,"Kg/ Hectare"
2018-19,Kottayam,Pepper,3015,Hectare,1214,MT,403,"Kg/ Hectare"
2018-19,Idukki,Pepper,43104,Hectare,23981,MT,556,"Kg/ Hectare"
2018-19,Ernakulam,Pepper,1844,Hectare,441,MT,239,"Kg/ Hectare"
2018-19,Thrissur,Pepper,1742,Hectare,503,MT,289,"Kg/ Hectare"
2018-19,Palakkad,Pepper,2654,Hectare,1095,MT,413,"Kg/ Hectare"
2018-19,Malappuram,Pepper,2368,Hectare,478,MT,202,"Kg/ Hectare"
2018-19,Kozhikode,Pepper,3590,Hectare,953,MT,266,"Kg/ Hectare"
2018-19,Wayanad,Pepper,9939,Hectare,3123,MT,314,"Kg/ Hectare"
2018-19,Kannur,Pepper,4341,Hectare,1429,MT,329,"Kg/ Hectare"
2018-19,Kasaragod,Pepper,3088,Hectare,1404,MT,455,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Ginger,72,Hectare,214,MT,2973,"Kg/ Hectare"
2018-19,Kollam,Ginger,327,Hectare,855,MT,2611,"Kg/ Hectare"
2018-19,Pathanamthitta,Ginger,281,Hectare,1155,MT,4113,"Kg/ Hectare"
2018-19,Alappuzha,Ginger,55,Hectare,132,MT,2386,"Kg/ Hectare"
2018-19,Kottayam,Ginger,116,Hectare,380,MT,3285,"Kg/ Hectare"
2018-19,Idukki,Ginger,489,Hectare,2370,MT,4845,"Kg/ Hectare"
2018-19,Ernakulam,Ginger,78,Hectare,204,MT,2631,"Kg/ Hectare"
2018-19,Thrissur,Ginger,43,Hectare,119,MT,2767,"Kg/ Hectare"
2018-19,Palakkad,Ginger,193,Hectare,742,MT,3842,"Kg/ Hectare"
2018-19,Malappuram,Ginger,32,Hectare,73,MT,2274,"Kg/ Hectare"
2018-19,Kozhikode,Ginger,59,Hectare,193,MT,3261,"Kg/ Hectare"
2018-19,Wayanad,Ginger,1456,Hectare,8400,MT,5769,"Kg/ Hectare"
2018-19,Kannur,Ginger,51,Hectare,202,MT,3943,"Kg/ Hectare"
2018-19,Kasaragod,Ginger,22,Hectare,85,MT,3799,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Turmeric,65,Hectare,128,MT,1972,"Kg/ Hectare"
2018-19,Kollam,Turmeric,283,Hectare,520,MT,1836,"Kg/ Hectare"
2018-19,Pathanamthitta,Turmeric,103,Hectare,295,MT,2862,"Kg/ Hectare"
2018-19,Alappuzha,Turmeric,39,Hectare,64,MT,1620,"Kg/ Hectare"
2018-19,Kottayam,Turmeric,108,Hectare,290,MT,2670,"Kg/ Hectare"
2018-19,Idukki,Turmeric,188,Hectare,672,MT,3577,"Kg/ Hectare"
2018-19,Ernakulam,Turmeric,218,Hectare,583,MT,2674,"Kg/ Hectare"
2018-19,Thrissur,Turmeric,78,Hectare,177,MT,2279,"Kg/ Hectare"
2018-19,Palakkad,Turmeric,475,Hectare,1428,MT,3008,"Kg/ Hectare"
2018-19,Malappuram,Turmeric,293,Hectare,649,MT,2218,"Kg/ Hectare"
2018-19,Kozhikode,Turmeric,293,Hectare,812,MT,2775,"Kg/ Hectare"
2018-19,Wayanad,Turmeric,147,Hectare,369,MT,2505,"Kg/ Hectare"
2018-19,Kannur,Turmeric,161,Hectare,609,MT,3773,"Kg/ Hectare"
2018-19,Kasaragod,Turmeric,32,Hectare,98,MT,3030,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kollam,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Pathanamthitta,Cardamom,664,Hectare,5,MT,8,"Kg/ Hectare"
2018-19,Alappuzha,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kottayam,Cardamom,86,Hectare,3,MT,35,"Kg/ Hectare"
2018-19,Idukki,Cardamom,30968,Hectare,11243,MT,363,"Kg/ Hectare"
2018-19,Ernakulam,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Thrissur,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Palakkad,Cardamom,2754,Hectare,67,MT,24,"Kg/ Hectare"
2018-19,Malappuram,Cardamom,70,Hectare,1,MT,14,"Kg/ Hectare"
2018-19,Kozhikode,Cardamom,220,Hectare,1,MT,5,"Kg/ Hectare"
2018-19,Wayanad,Cardamom,4120,Hectare,215,MT,52,"Kg/ Hectare"
2018-19,Kannur,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kasaragod,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Arecanut,901,Hectare,462,MT,512,"Kg/ Hectare"
2018-19,Kollam,Arecanut,1620,Hectare,1045,MT,645,"Kg/ Hectare"
2018-19,Pathanamthitta,Arecanut,988,Hectare,623,MT,630,"Kg/ Hectare"
2018-19,Alappuzha,Arecanut,1370,Hectare,385,MT,281,"Kg/ Hectare"
2018-19,Kottayam,Arecanut,1392,Hectare,1081,MT,777,"Kg/ Hectare"
2018-19,Idukki,Arecanut,1784,Hectare,1395,MT,782,"Kg/ Hectare"
2018-19,Ernakulam,Arecanut,4108,Hectare,3033,MT,738,"Kg/ Hectare"
2018-19,Thrissur,Arecanut,5643,Hectare,4759,MT,843,"Kg/ Hectare"
2018-19,Palakkad,Arecanut,7961,Hectare,6346,MT,797,"Kg/ Hectare"
2018-19,Malappuram,Arecanut,17956,Hectare,14521,MT,809,"Kg/ Hectare"
2018-19,Kozhikode,Arecanut,10038,Hectare,8473,MT,844,"Kg/ Hectare"
2018-19,Wayanad,Arecanut,11852,Hectare,3679,MT,310,"Kg/ Hectare"
2018-19,Kannur,Arecanut,9362,Hectare,9532,MT,1018,"Kg/ Hectare"
2018-19,Kasaragod,Arecanut,20764,Hectare,44591,MT,2148,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Jack,6521,Hectare,21,"Million Nuts",3220,"Nuts/ Hectare"
2018-19,Kollam,Jack,6017,Hectare,20,"Million Nuts",3324,"Nuts/ Hectare"
2018-19,Pathanamthitta,Jack,3059,Hectare,10,"Million Nuts",3270,"Nuts/ Hectare"
2018-19,Alappuzha,Jack,2825,Hectare,2,"Million Nuts",708,"Nuts/ Hectare"
2018-19,Kottayam,Jack,4065,Hectare,14,"Million Nuts",3444,"Nuts/ Hectare"
2018-19,Idukki,Jack,16733,Hectare,61,"Million Nuts",3646,"Nuts/ Hectare"
2018-19,Ernakulam,Jack,3797,Hectare,14,"Million Nuts",3687,"Nuts/ Hectare"
2018-19,Thrissur,Jack,5166,Hectare,17,"Million Nuts",3290,"Nuts/ Hectare"
2018-19,Palakkad,Jack,6669,Hectare,19,"Million Nuts",2849,"Nuts/ Hectare"
2018-19,Malappuram,Jack,8183,Hectare,18,"Million Nuts",2200,"Nuts/ Hectare"
2018-19,Kozhikode,Jack,9331,Hectare,17,"Million Nuts",1822,"Nuts/ Hectare"
2018-19,Wayanad,Jack,6916,Hectare,13,"Million Nuts",1880,"Nuts/ Hectare"
2018-19,Kannur,Jack,8620,Hectare,22,"Million Nuts",2552,"Nuts/ Hectare"
2018-19,Kasaragod,Jack,3005,Hectare,12,"Million Nuts",3993,"Nuts/ Hectare"
2018-19,Thiruvananthapuram,Mango,4828,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Kollam,Mango,5090,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Pathanamthitta,Mango,2025,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Alappuzha,Mango,4510,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Kottayam,Mango,3023,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Idukki,Mango,5451,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Ernakulam,Mango,4268,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Thrissur,Mango,7037,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Palakkad,Mango,10067,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Malappuram,Mango,7697,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Kozhikode,Mango,8542,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Wayanad,Mango,4637,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Kannur,Mango,8164,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Kasaragod,Mango,2815,Hectare,,"Million Nuts",,"Nuts/ Hectare"
2018-19,Thiruvananthapuram,Banana,3114,Hectare,27818,MT,8933,"Kg/ Hectare"
2018-19,Kollam,Banana,3455,Hectare,25971,MT,7516,"Kg/ Hectare"
2018-19,Pathanamthitta,Banana,2215,Hectare,17322,MT,7820,"Kg/ Hectare"
2018-19,Alappuzha,Banana,318,Hectare,1938,MT,6085,"Kg/ Hectare"
2018-19,Kottayam,Banana,3252,Hectare,29188,MT,8974,"Kg/ Hectare"
2018-19,Idukki,Banana,3320,Hectare,29605,MT,8918,"Kg/ Hectare"
2018-19,Ernakulam,Banana,4981,Hectare,35129,MT,7053,"Kg/ Hectare"
2018-19,Thrissur,Banana,1702,Hectare,8204,MT,4820,"Kg/ Hectare"
2018-19,Palakkad,Banana,11998,Hectare,102812,MT,8569,"Kg/ Hectare"
2018-19,Malappuram,Banana,5683,Hectare,40493,MT,7125,"Kg/ Hectare"
2018-19,Kozhikode,Banana,1455,Hectare,12981,MT,8924,"Kg/ Hectare"
2018-19,Wayanad,Banana,8861,Hectare,74562,MT,8415,"Kg/ Hectare"
2018-19,Kannur,Banana,1886,Hectare,17313,MT,9181,"Kg/ Hectare"
2018-19,Kasaragod,Banana,658,Hectare,5723,MT,8695,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Plantain,7749,Hectare,65561,MT,8461,"Kg/ Hectare"
2018-19,Kollam,Plantain,5846,Hectare,44018,MT,7530,"Kg/ Hectare"
2018-19,Pathanamthitta,Plantain,2182,Hectare,19089,MT,8747,"Kg/ Hectare"
2018-19,Alappuzha,Plantain,2120,Hectare,13213,MT,6232,"Kg/ Hectare"
2018-19,Kottayam,Plantain,2848,Hectare,22280,MT,7822,"Kg/ Hectare"
2018-19,Idukki,Plantain,3768,Hectare,28524,MT,7570,"Kg/ Hectare"
2018-19,Ernakulam,Plantain,4652,Hectare,37872,MT,8142,"Kg/ Hectare"
2018-19,Thrissur,Plantain,5050,Hectare,34402,MT,6813,"Kg/ Hectare"
2018-19,Palakkad,Plantain,7658,Hectare,50333,MT,6572,"Kg/ Hectare"
2018-19,Malappuram,Plantain,4429,Hectare,24833,MT,5607,"Kg/ Hectare"
2018-19,Kozhikode,Plantain,3519,Hectare,15290,MT,4345,"Kg/ Hectare"
2018-19,Wayanad,Plantain,1142,Hectare,6538,MT,5722,"Kg/ Hectare"
2018-19,Kannur,Plantain,2950,Hectare,11512,MT,3902,"Kg/ Hectare"
2018-19,Kasaragod,Plantain,2298,Hectare,9637,MT,4195,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Pineapple,94,Hectare,717,MT,7617,"Kg/ Hectare"
2018-19,Kollam,Pineapple,95,Hectare,652,MT,6848,"Kg/ Hectare"
2018-19,Pathanamthitta,Pineapple,193,Hectare,991,MT,5145,"Kg/ Hectare"
2018-19,Alappuzha,Pineapple,58,Hectare,427,MT,7398,"Kg/ Hectare"
2018-19,Kottayam,Pineapple,1587,Hectare,15156,MT,9551,"Kg/ Hectare"
2018-19,Idukki,Pineapple,1302,Hectare,13809,MT,10603,"Kg/ Hectare"
2018-19,Ernakulam,Pineapple,5376,Hectare,58572,MT,10896,"Kg/ Hectare"
2018-19,Thrissur,Pineapple,66,Hectare,473,MT,7171,"Kg/ Hectare"
2018-19,Palakkad,Pineapple,51,Hectare,286,MT,5649,"Kg/ Hectare"
2018-19,Malappuram,Pineapple,40,Hectare,215,MT,5429,"Kg/ Hectare"
2018-19,Kozhikode,Pineapple,114,Hectare,719,MT,6310,"Kg/ Hectare"
2018-19,Wayanad,Pineapple,23,Hectare,111,MT,4690,"Kg/ Hectare"
2018-19,Kannur,Pineapple,100,Hectare,507,MT,5053,"Kg/ Hectare"
2018-19,Kasaragod,Pineapple,53,Hectare,372,MT,6933,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Pappaya,1778,Hectare,15458,MT,8693,"Kg/ Hectare"
2018-19,Kollam,Pappaya,1416,Hectare,6912,MT,4882,"Kg/ Hectare"
2018-19,Pathanamthitta,Pappaya,803,Hectare,7050,MT,8779,"Kg/ Hectare"
2018-19,Alappuzha,Pappaya,1084,Hectare,8950,MT,8255,"Kg/ Hectare"
2018-19,Kottayam,Pappaya,1283,Hectare,6286,MT,4900,"Kg/ Hectare"
2018-19,Idukki,Pappaya,917,Hectare,5895,MT,6428,"Kg/ Hectare"
2018-19,Ernakulam,Pappaya,1237,Hectare,8290,MT,6702,"Kg/ Hectare"
2018-19,Thrissur,Pappaya,1349,Hectare,4777,MT,3542,"Kg/ Hectare"
2018-19,Palakkad,Pappaya,1460,Hectare,7684,MT,5263,"Kg/ Hectare"
2018-19,Malappuram,Pappaya,2303,Hectare,10882,MT,4725,"Kg/ Hectare"
2018-19,Kozhikode,Pappaya,1926,Hectare,7651,MT,3972,"Kg/ Hectare"
2018-19,Wayanad,Pappaya,367,Hectare,3153,MT,8592,"Kg/ Hectare"
2018-19,Kannur,Pappaya,1785,Hectare,11594,MT,6494,"Kg/ Hectare"
2018-19,Kasaragod,Pappaya,875,Hectare,5965,MT,6819,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Cashew,839,Hectare,207,MT,247,"Kg/ Hectare"
2018-19,Kollam,Cashew,1671,Hectare,455,MT,272,"Kg/ Hectare"
2018-19,Pathanamthitta,Cashew,412,Hectare,87,MT,212,"Kg/ Hectare"
2018-19,Alappuzha,Cashew,1617,Hectare,332,MT,205,"Kg/ Hectare"
2018-19,Kottayam,Cashew,345,Hectare,90,MT,261,"Kg/ Hectare"
2018-19,Idukki,Cashew,945,Hectare,191,MT,203,"Kg/ Hectare"
2018-19,Ernakulam,Cashew,395,Hectare,99,MT,252,"Kg/ Hectare"
2018-19,Thrissur,Cashew,1296,Hectare,398,MT,307,"Kg/ Hectare"
2018-19,Palakkad,Cashew,1130,Hectare,210,MT,186,"Kg/ Hectare"
2018-19,Malappuram,Cashew,1635,Hectare,257,MT,157,"Kg/ Hectare"
2018-19,Kozhikode,Cashew,1542,Hectare,299,MT,194,"Kg/ Hectare"
2018-19,Wayanad,Cashew,469,Hectare,153,MT,325,"Kg/ Hectare"
2018-19,Kannur,Cashew,19243,Hectare,8569,MT,445,"Kg/ Hectare"
2018-19,Kasaragod,Cashew,7241,Hectare,4287,MT,592,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Tapioca,13038,Hectare,475449,MT,36467,"Kg/ Hectare"
2018-19,Kollam,Tapioca,12910,Hectare,450759,MT,34917,"Kg/ Hectare"
2018-19,Pathanamthitta,Tapioca,4682,Hectare,209528,MT,44748,"Kg/ Hectare"
2018-19,Alappuzha,Tapioca,1856,Hectare,58912,MT,31747,"Kg/ Hectare"
2018-19,Kottayam,Tapioca,5960,Hectare,259501,MT,43538,"Kg/ Hectare"
2018-19,Idukki,Tapioca,5962,Hectare,242395,MT,40655,"Kg/ Hectare"
2018-19,Ernakulam,Tapioca,5022,Hectare,201365,MT,40096,"Kg/ Hectare"
2018-19,Thrissur,Tapioca,976,Hectare,41412,MT,42419,"Kg/ Hectare"
2018-19,Palakkad,Tapioca,1725,Hectare,55374,MT,32098,"Kg/ Hectare"
2018-19,Malappuram,Tapioca,4938,Hectare,176374,MT,35715,"Kg/ Hectare"
2018-19,Kozhikode,Tapioca,1360,Hectare,36255,MT,26658,"Kg/ Hectare"
2018-19,Wayanad,Tapioca,1223,Hectare,40549,MT,33148,"Kg/ Hectare"
2018-19,Kannur,Tapioca,1801,Hectare,64443,MT,35788,"Kg/ Hectare"
2018-19,Kasaragod,Tapioca,420,Hectare,12690,MT,30207,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Coconut,71158,Hectare,491,"Million Nuts",6900,"Nuts/ Hectare"
2018-19,Kollam,Coconut,45473,Hectare,319,"Million Nuts",7015,"Nuts/ Hectare"
2018-19,Pathanamthitta,Coconut,15816,Hectare,94,"Million Nuts",5943,"Nuts/ Hectare"
2018-19,Alappuzha,Coconut,33755,Hectare,192,"Million Nuts",5688,"Nuts/ Hectare"
2018-19,Kottayam,Coconut,25514,Hectare,124,"Million Nuts",4860,"Nuts/ Hectare"
2018-19,Idukki,Coconut,14514,Hectare,59,"Million Nuts",4065,"Nuts/ Hectare"
2018-19,Ernakulam,Coconut,39275,Hectare,174,"Million Nuts",4430,"Nuts/ Hectare"
2018-19,Thrissur,Coconut,79766,Hectare,496,"Million Nuts",6218,"Nuts/ Hectare"
2018-19,Palakkad,Coconut,55502,Hectare,441,"Million Nuts",7946,"Nuts/ Hectare"
2018-19,Malappuram,Coconut,104684,Hectare,912,"Million Nuts",8712,"Nuts/ Hectare"
2018-19,Kozhikode,Coconut,115706,Hectare,790,"Million Nuts",6828,"Nuts/ Hectare"
2018-19,Wayanad,Coconut,10121,Hectare,56,"Million Nuts",5533,"Nuts/ Hectare"
2018-19,Kannur,Coconut,83663,Hectare,501,"Million Nuts",5988,"Nuts/ Hectare"
2018-19,Kasaragod,Coconut,65999,Hectare,650,"Million Nuts",9849,"Nuts/ Hectare"
2018-19,Thiruvananthapuram,Tea,835,Hectare,50,MT,59,"Kg/ Hectare"
2018-19,Kollam,Tea,549,Hectare,170,MT,309,"Kg/ Hectare"
2018-19,Pathanamthitta,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Alappuzha,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kottayam,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Idukki,Tea,25588,Hectare,46130,MT,1802,"Kg/ Hectare"
2018-19,Ernakulam,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Thrissur,Tea,530,Hectare,880,MT,1663,"Kg/ Hectare"
2018-19,Palakkad,Tea,778,Hectare,2050,MT,2638,"Kg/ Hectare"
2018-19,Malappuram,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kozhikode,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Wayanad,Tea,8193,Hectare,11480,MT,1401,"Kg/ Hectare"
2018-19,Kannur,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kasaragod,Tea,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kollam,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Pathanamthitta,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Alappuzha,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kottayam,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Idukki,Coffee,12717,Hectare,8365,MT,657,"Kg/ Hectare"
2018-19,Ernakulam,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Thrissur,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Palakkad,Coffee,4833,Hectare,2975,MT,615,"Kg/ Hectare"
2018-19,Malappuram,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kozhikode,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Wayanad,Coffee,67426,Hectare,53336,MT,791,"Kg/ Hectare"
2018-19,Kannur,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Kasaragod,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Rubber,32200,Hectare,31070,MT,965,"Kg/ Hectare"
2018-19,Kollam,Rubber,37270,Hectare,37780,MT,1014,"Kg/ Hectare"
2018-19,Pathanamthitta,Rubber,50900,Hectare,53800,MT,1057,"Kg/ Hectare"
2018-19,Alappuzha,Rubber,4500,Hectare,4500,MT,1000,"Kg/ Hectare"
2018-19,Kottayam,Rubber,114440,Hectare,110100,MT,962,"Kg/ Hectare"
2018-19,Idukki,Rubber,40600,Hectare,39395,MT,970,"Kg/ Hectare"
2018-19,Ernakulam,Rubber,60170,Hectare,60050,MT,998,"Kg/ Hectare"
2018-19,Thrissur,Rubber,15660,Hectare,15600,MT,996,"Kg/ Hectare"
2018-19,Palakkad,Rubber,37870,Hectare,36400,MT,961,"Kg/ Hectare"
2018-19,Malappuram,Rubber,42775,Hectare,40040,MT,936,"Kg/ Hectare"
2018-19,Kozhikode,Rubber,21930,Hectare,22950,MT,1047,"Kg/ Hectare"
2018-19,Wayanad,Rubber,10800,Hectare,7700,MT,713,"Kg/ Hectare"
2018-19,Kannur,Rubber,48080,Hectare,49090,MT,1021,"Kg/ Hectare"
2018-19,Kasaragod,Rubber,33920,Hectare,32300,MT,952,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Nutmeg,85,Hectare,38,MT,448,"Kg/ Hectare"
2018-19,Kollam,Nutmeg,79,Hectare,30,MT,380,"Kg/ Hectare"
2018-19,Pathanamthitta,Nutmeg,555,Hectare,246,MT,443,"Kg/ Hectare"
2018-19,Alappuzha,Nutmeg,304,Hectare,102,MT,335,"Kg/ Hectare"
2018-19,Kottayam,Nutmeg,2650,Hectare,1591,MT,600,"Kg/ Hectare"
2018-19,Idukki,Nutmeg,3652,Hectare,2187,MT,599,"Kg/ Hectare"
2018-19,Ernakulam,Nutmeg,6671,Hectare,5362,MT,804,"Kg/ Hectare"
2018-19,Thrissur,Nutmeg,6897,Hectare,4068,MT,590,"Kg/ Hectare"
2018-19,Palakkad,Nutmeg,366,Hectare,167,MT,457,"Kg/ Hectare"
2018-19,Malappuram,Nutmeg,469,Hectare,222,MT,473,"Kg/ Hectare"
2018-19,Kozhikode,Nutmeg,582,Hectare,315,MT,542,"Kg/ Hectare"
2018-19,Wayanad,Nutmeg,113,Hectare,25,MT,222,"Kg/ Hectare"
2018-19,Kannur,Nutmeg,210,Hectare,112,MT,535,"Kg/ Hectare"
2018-19,Kasaragod,Nutmeg,137,Hectare,133,MT,972,"Kg/ Hectare"
2018-19,Thiruvananthapuram,Cocoa,60,Hectare,39,MT,653,"Kg/ Hectare"
2018-19,Kollam,Cocoa,8,Hectare,6,MT,656,"Kg/ Hectare"
2018-19,Pathanamthitta,Cocoa,319,Hectare,374,MT,1175,"Kg/ Hectare"
2018-19,Alappuzha,Cocoa,54,Hectare,71,MT,1323,"Kg/ Hectare"
2018-19,Kottayam,Cocoa,875,Hectare,881,MT,1006,"Kg/ Hectare"
2018-19,Idukki,Cocoa,9342,Hectare,9509,MT,1018,"Kg/ Hectare"
2018-19,Ernakulam,Cocoa,1074,Hectare,782,MT,729,"Kg/ Hectare"
2018-19,Thrissur,Cocoa,43,Hectare,26,MT,611,"Kg/ Hectare"
2018-19,Palakkad,Cocoa,153,Hectare,174,MT,1138,"Kg/ Hectare"
2018-19,Malappuram,Cocoa,78,Hectare,34,MT,431,"Kg/ Hectare"
2018-19,Kozhikode,Cocoa,807,Hectare,658,MT,816,"Kg/ Hectare"
2018-19,Wayanad,Cocoa,420,Hectare,359,MT,854,"Kg/ Hectare"
2018-19,Kannur,Cocoa,377,Hectare,245,MT,651,"Kg/ Hectare"
2018-19,Kasaragod,Cocoa,281,Hectare,242,MT,860,"Kg/ Hectare"
2018-19,Thiruvananthapuram,"Betel leaves",12,Hectare,426,MT,34582,"Kg/ Hectare"
